# Einstein Telescope (ET) sensitivity, characteristic strain h_c vs frequency
# source: GW_exclusion_plot.svg (qsim_visit project), top-left panel, colour #ffbf00
# shape: stroke outline path517-7 (all 684 raw path vertices; matches lower edge of fill path516-5 exactly)
# calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# decimation: 321 points uniform in log f (linear interp in log-log, exact since path segments are straight),
#   plus raw vertices added until the piecewise-log-log-linear reconstruction is within 0.01 dex of the raw curve
# caveats: curve data begin at f = 1 Hz (h_c ~ 1.0e-16) - the drawn curve stops there; the fill's vertical left edge
#   above that point is just the polygon closure, not data. Upper end f = 1e4 Hz is the plot frame (right clip),
#   so the curve may continue beyond it. Digitisation precision ~0.002 dex (sub-0.05-unit vertex coords).
f_Hz,h_c
841.353,4.21442e-23
865.92,4.36671e-23
891.205,4.53464e-23
917.228,4.70966e-23
944.011,4.89144e-23
971.576,5.08024e-23
999.947,5.27632e-23
1029.15,5.47997e-23
1059.2,5.69696e-23
1090.12,5.92668e-23
1121.96,6.16567e-23
1154.72,6.41429e-23
1188.44,6.67294e-23
1223.14,6.94202e-23
1258.85,7.22502e-23
1295.61,7.52577e-23
1333.44,7.83904e-23
1372.38,8.16535e-23
1412.45,8.50525e-23
1453.7,8.85929e-23
1496.15,9.22807e-23
1539.83,9.61661e-23
1584.8,1.00249e-22
1631.07,1.04504e-22
1678.7,1.08941e-22
1727.72,1.13566e-22
1778.17,1.18387e-22
1830.09,1.23431e-22
1883.53,1.28746e-22
1938.53,1.3429e-22
1995.13,1.40072e-22
2053.39,1.46104e-22
2113.35,1.52395e-22
2175.06,1.58957e-22
2238.57,1.65829e-22
2303.94,1.7304e-22
2371.21,1.80564e-22
2440.45,1.88416e-22
2511.71,1.96609e-22
2585.06,2.05158e-22
2660.54,2.14079e-22
2738.23,2.2343e-22
2818.18,2.3321e-22
2900.47,2.43417e-22
2985.17,2.54072e-22
3072.34,2.65192e-22
3162.05,2.768e-22
3254.38,2.88928e-22
3349.41,3.01607e-22
3447.21,3.14842e-22
3547.87,3.28658e-22
3651.47,3.4308e-22
3758.09,3.58135e-22
3867.83,3.73851e-22
3980.77,3.90301e-22
4097.01,4.07502e-22
4216.64,4.2546e-22
4339.77,4.44209e-22
4466.49,4.63785e-22
4596.91,4.84224e-22
4731.14,5.05568e-22
4869.29,5.27864e-22
5011.47,5.51143e-22
5157.81,5.75449e-22
5308.41,6.00826e-22
5463.42,6.27323e-22
5622.95,6.54999e-22
5787.14,6.84029e-22
5956.13,7.14347e-22
6130.05,7.46008e-22
6309.04,7.79073e-22
6493.27,8.13603e-22
6682.87,8.49663e-22
6878.01,8.87363e-22
7078.85,9.26823e-22
7285.55,9.68039e-22
7498.29,1.01109e-21
7717.24,1.05605e-21
7942.58,1.10301e-21
8174.51,1.15209e-21
8413.2,1.20319e-21
8658.87,1.25754e-21
8911.71,1.3137e-21
9171.93,1.3728e-21
9439.75,1.43439e-21
9715.39,1.49899e-21
9999.08,1.56643e-21
