# AEDGE characteristic-strain sensitivity curve (lower boundary of the AEDGE region), digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel, colour #6685d9.
# Shapes: the AEDGE region has one translucent fill (path506-2) and two #6685d9 strokes plus a 2-point lead-in:
#   path507-1 - 2-point dashed lead-in continuing path508-0 leftwards past the frame edge (clipped at f = 1e-6 Hz here).
#   path508-0 - DASHED curve over the whole band, 1e-6 Hz -> 3.39 Hz (689 segments). The fill's lower edge follows it exactly.
#               Below 0.01 Hz this is the only AEDGE curve (broadband-mode sensitivity, incl. the two upward spikes near
#               3e-3 and 6e-3 Hz, presumably response nulls of the broadband interferometer; kept).
#   path509-9 - SOLID curve from 0.0100 Hz to 3.39 Hz (1091 segments), starting on path508-0 and ending on the same point.
#               It is the same curve as path508-0 over that range but at ~2.7x the vertex density: it resolves the saw-tooth
#               staircase of the resonant-mode envelope, which path508-0 undersamples (in places cuts straight chords across it).
#               Difference solid - dashed: rms 0.016 dex, max 0.09 dex, all attributable to that undersampling.
# Built: path507-1 (reversed, clipped at the frame) + path508-0 for f < 0.0100 Hz, then path509-9 for f >= 0.0100 Hz
#   (joins continuously: the two strokes agree to 1e-3 px at the junction). Band limits: left end is the frame clip
#   (curve continues below 1e-6 Hz); right end at 3.39 Hz is where the plot's author ended the curve (fill closes vertically there).
# Calibration (top-left panel; svgelements page coords in px, y down):
#   log10(f/Hz) = -6 + (x - 102.2)/28.065 ;  log10(h_c) = -15 - (y - 50.24)/18.258
# Decimation: exact polyline vertices (no curve fitting) -> 300 points uniform in log10 f plus the Ramer-Douglas-Peucker
#   vertices at 0.002 dex tolerance (keeps spike tips and staircase corners), linearly interpolated in log-log.
#   Max perpendicular deviation from the full polyline: 0.0017 dex. Digitisation accuracy ~0.01 dex in both axes.
# Caveat: spacing is only roughly uniform (extra points cluster at spikes/steps); linear interpolation in log-log is exact.
f_Hz,h_c
3.316955e-02,1.274911e-22
3.390258e-02,1.184584e-22
3.488019e-02,1.182857e-22
3.629429e-02,1.182553e-22
3.667906e-02,1.145963e-22
3.715523e-02,1.098434e-22
3.857070e-02,1.098434e-22
3.890627e-02,1.098906e-22
3.980694e-02,9.554794e-23
4.055990e-02,9.038323e-23
4.072846e-02,8.923813e-23
4.203636e-02,8.890377e-23
4.265168e-02,8.631111e-23
4.485135e-02,7.790896e-23
4.716445e-02,7.032474e-23
4.750898e-02,6.928998e-23
4.959685e-02,6.421464e-23
5.215470e-02,5.874989e-23
5.366411e-02,5.558409e-23
5.484446e-02,5.544119e-23
5.631879e-02,5.535207e-23
5.752614e-02,5.277232e-23
5.767294e-02,5.229283e-23
5.887429e-02,4.800394e-23
6.025403e-02,4.568819e-23
6.064729e-02,4.572741e-23
6.318178e-02,4.589938e-23
6.377504e-02,4.508319e-23
6.464442e-02,4.384945e-23
6.612247e-02,4.049510e-23
6.706409e-02,3.948622e-23
6.765320e-02,3.889872e-23
6.912765e-02,3.917505e-23
6.950490e-02,3.891541e-23
7.052277e-02,3.798742e-23
7.074769e-02,3.778844e-23
7.250680e-02,3.520601e-23
7.406119e-02,3.410223e-23
7.415982e-02,3.408231e-23
7.579685e-02,3.443301e-23
7.768150e-02,3.339642e-23
7.798445e-02,3.346579e-23
8.200632e-02,3.448845e-23
8.322552e-02,3.481176e-23
8.499191e-02,3.501396e-23
8.623561e-02,3.455953e-23
8.724510e-02,3.423049e-23
9.068302e-02,3.512355e-23
9.535979e-02,3.639494e-23
9.540224e-02,3.640794e-23
9.774709e-02,3.601181e-23
1.002778e-01,3.664977e-23
1.054494e-01,3.790155e-23
1.095973e-01,3.875298e-23
1.108877e-01,3.848789e-23
1.123538e-01,3.823690e-23
1.166065e-01,3.923974e-23
1.226202e-01,4.069054e-23
1.231245e-01,4.080027e-23
1.258080e-01,4.098887e-23
1.289440e-01,4.057544e-23
1.289721e-01,4.057771e-23
1.355940e-01,4.202699e-23
1.425870e-01,4.350263e-23
1.444566e-01,4.381184e-23
1.499406e-01,4.333016e-23
1.515921e-01,4.324695e-23
1.576734e-01,4.443601e-23
1.658051e-01,4.606236e-23
1.735776e-01,4.746129e-23
1.743561e-01,4.746129e-23
1.833481e-01,4.712697e-23
1.863292e-01,4.704571e-23
1.928039e-01,4.818242e-23
2.027473e-01,4.994156e-23
2.132036e-01,5.182036e-23
2.185967e-01,5.278930e-23
2.235947e-01,5.224296e-23
2.241990e-01,5.222055e-23
2.292823e-01,5.222055e-23
2.346556e-01,5.154724e-23
2.357616e-01,5.154724e-23
2.397530e-01,5.160809e-23
2.479205e-01,5.279509e-23
2.607064e-01,5.471170e-23
2.741518e-01,5.674516e-23
2.882905e-01,5.891804e-23
2.948567e-01,5.996279e-23
3.031585e-01,5.964334e-23
3.157460e-01,5.894259e-23
3.187932e-01,5.859073e-23
3.238453e-01,5.796460e-23
3.314348e-01,5.769790e-23
3.352342e-01,5.814040e-23
3.525232e-01,6.018829e-23
3.707037e-01,6.235957e-23
3.898220e-01,6.470353e-23
4.099261e-01,6.718577e-23
4.310672e-01,6.986279e-23
4.464364e-01,7.185562e-23
4.532985e-01,7.157153e-23
4.766763e-01,7.047600e-23
4.894046e-01,6.995455e-23
5.012598e-01,6.907006e-23
5.271112e-01,6.784909e-23
5.367704e-01,6.731225e-23
5.542957e-01,6.715839e-23
5.619103e-01,6.728338e-23
5.828823e-01,6.895159e-23
6.129431e-01,7.139707e-23
6.445543e-01,7.401714e-23
6.777957e-01,7.688845e-23
7.127515e-01,7.987114e-23
7.262048e-01,8.100953e-23
7.495101e-01,8.315131e-23
7.881644e-01,8.667841e-23
8.288122e-01,9.046235e-23
8.715563e-01,9.463792e-23
9.127682e-01,9.879932e-23
9.165048e-01,9.889235e-23
9.339638e-01,9.934122e-23
9.637715e-01,9.790120e-23
1.013476e+00,9.603843e-23
1.046607e+00,9.471131e-23
1.065744e+00,9.415027e-23
1.120707e+00,9.251547e-23
1.178505e+00,9.083823e-23
1.239284e+00,8.932185e-23
1.303197e+00,8.783078e-23
1.312366e+00,8.760701e-23
1.370406e+00,8.642461e-23
1.441082e+00,8.527156e-23
1.511322e+00,8.408123e-23
1.515402e+00,8.402767e-23
1.593556e+00,8.310855e-23
1.660833e+00,8.248242e-23
1.675740e+00,8.293276e-23
1.762162e+00,8.623230e-23
1.853042e+00,8.999618e-23
1.874959e+00,9.089961e-23
1.948608e+00,9.417152e-23
2.049104e+00,9.861972e-23
2.154781e+00,1.035186e-22
2.265909e+00,1.089357e-22
2.354667e+00,1.132650e-22
2.382769e+00,1.147932e-22
2.505655e+00,1.215028e-22
2.634878e+00,1.286046e-22
2.661216e+00,1.300577e-22
2.770766e+00,1.368453e-22
2.913662e+00,1.458044e-22
2.983220e+00,1.502076e-22
3.063927e+00,1.557413e-22
3.221943e+00,1.670150e-22
3.388107e+00,1.796328e-22
