# LIGO (aLIGO design-style) characteristic-strain sensitivity curve, digitised from GW_exclusion_plot.svg
# Source: GW_exclusion_plot.svg (qsim_visit project root), top-left panel; solid #c56e1a stroke path id="path519-3"
#   (shapes.pkl idx 1504). Cross-check: the bottom LIGO-only panel's stroke "path519-3-7-4-1-7" (idx 2054) is an exact
#   translation (+13.507, +926.118) of it, and that panel's frame, tick marks and tick-label glyphs are translated by the
#   same offset, so it gives identical values.
# Calibration (page coords, y down): log10(f/Hz) = -6 + (x - 102.2)/28.065 ; log10(h_c) = -15 - (y - 50.24)/18.258
# Method: the stroke is a 387-vertex polyline in log-log page space, strictly monotonic in f and lying wholly inside the
#   frame (no clipping). All vertices are written as-is (exact; linear interpolation in log-log reproduces the plotted
#   curve). The translucent fill path518-9 (idx 1503) only adds vertical closing edges at 5 Hz / 5 kHz and the frame-top
#   clip, which are not included.
# Caveats: vertex spacing is not uniform in log f (denser where the curve bends). Includes the narrow suspension
#   (bounce-mode) spike at ~9.7 Hz, reaching h_c ~1.7e-19. 5 Hz and 5 kHz are the band limits of the plotted curve.
#   Calibration accuracy ~0.01 plot units -> <0.001 dex in both axes.
f_Hz,h_c
4.932409e+01,5.621358e-23
4.941710e+01,5.617140e-23
4.974228e+01,5.602699e-23
5.015001e+01,5.588896e-23
5.100756e+01,5.558409e-23
5.122870e+01,5.548878e-23
5.144003e+01,5.542336e-23
5.187615e+01,5.528088e-23
5.275954e+01,5.502652e-23
5.457169e+01,5.454470e-23
5.469367e+01,5.449792e-23
5.481210e+01,5.447454e-23
5.506510e+01,5.441031e-23
5.557848e+01,5.429373e-23
5.660385e+01,5.409030e-23
5.672641e+01,5.406710e-23
5.684924e+01,5.402073e-23
5.764410e+01,5.388763e-23
5.870758e+01,5.370876e-23
5.883470e+01,5.368573e-23
5.898267e+01,5.366270e-23
5.923838e+01,5.361668e-23
5.979067e+01,5.352475e-23
6.089375e+01,5.339288e-23
6.102560e+01,5.336998e-23
6.117481e+01,5.334708e-23
6.144432e+01,5.332420e-23
6.201284e+01,5.325562e-23
6.315691e+01,5.312441e-23
6.329367e+01,5.312441e-23
6.343515e+01,5.310162e-23
6.369239e+01,5.307885e-23
6.425033e+01,5.303332e-23
6.437597e+01,5.301058e-23
6.451537e+01,5.301058e-23
6.479507e+01,5.299352e-23
6.534443e+01,5.294807e-23
6.549049e+01,5.294807e-23
6.563230e+01,5.292536e-23
6.589844e+01,5.290266e-23
6.647571e+01,5.287997e-23
6.662430e+01,5.285729e-23
6.674993e+01,5.285729e-23
6.704399e+01,5.283462e-23
6.761242e+01,5.281196e-23
6.775882e+01,5.278930e-23
6.790554e+01,5.278930e-23
6.820470e+01,5.277232e-23
6.878297e+01,5.274969e-23
6.908117e+01,5.274969e-23
6.936614e+01,5.272706e-23
6.997378e+01,5.270445e-23
7.025753e+01,5.270445e-23
7.056704e+01,5.268184e-23
7.131944e+01,5.268184e-23
7.147886e+01,5.265924e-23
7.255416e+01,5.265924e-23
7.273664e+01,5.263666e-23
7.722948e+01,5.263666e-23
7.741831e+01,5.265924e-23
7.884660e+01,5.265924e-23
7.903938e+01,5.268184e-23
7.977628e+01,5.268184e-23
8.014450e+01,5.270445e-23
8.089170e+01,5.272706e-23
8.162308e+01,5.272706e-23
8.238407e+01,5.277232e-23
8.392153e+01,5.281196e-23
8.412673e+01,5.281196e-23
8.431477e+01,5.283462e-23
8.470395e+01,5.283462e-23
8.546980e+01,5.287997e-23
8.702233e+01,5.294807e-23
8.742400e+01,5.294807e-23
8.783366e+01,5.297079e-23
8.862780e+01,5.301058e-23
9.025659e+01,5.310162e-23
9.045203e+01,5.310162e-23
9.065422e+01,5.312441e-23
9.107265e+01,5.314720e-23
9.189608e+01,5.319282e-23
9.359147e+01,5.327847e-23
9.704279e+01,5.350179e-23
9.725971e+01,5.350179e-23
9.744311e+01,5.352475e-23
9.786556e+01,5.354772e-23
9.869530e+01,5.361668e-23
1.003830e+02,5.373181e-23
1.038309e+02,5.397440e-23
1.040557e+02,5.397440e-23
1.042883e+02,5.399756e-23
1.047112e+02,5.402073e-23
1.055990e+02,5.409030e-23
1.074271e+02,5.422389e-23
1.111247e+02,5.452130e-23
1.113654e+02,5.454470e-23
1.116377e+02,5.456810e-23
1.121295e+02,5.459152e-23
1.131670e+02,5.468528e-23
1.152548e+02,5.484387e-23
1.195717e+02,5.520978e-23
1.287056e+02,5.597894e-23
1.289573e+02,5.600296e-23
1.297969e+02,5.607509e-23
1.308973e+02,5.617140e-23
1.331635e+02,5.638265e-23
1.378239e+02,5.678318e-23
1.476189e+02,5.767315e-23
1.688514e+02,5.963570e-23
1.953606e+02,6.218974e-23
2.238188e+02,6.498545e-23
2.593737e+02,6.865381e-23
2.997598e+02,7.307581e-23
