# AION-km characteristic-strain sensitivity curve (solid purple #a5609d)
# Source: GW_exclusion_plot.svg, top-left panel, stroke path id 'path521-7' (fill companion 'path520-0').
#   Identified as AION-km from its label (outlined glyphs path536-7/537-6/538-9 read 'AION-km', sitting on this line)
#   and from the fifth panel, which shows only this purple curve, labelled AION-km.
#   The other purple curve (dashed, 'path523-6') is the GGN (gravity-gradient-noise) variant labelled 'GGN'; not included here.
# Calibration (svgelements page units, y down): log10(f/Hz) = -6 + (x-102.2)/28.065 ; log10(h_c) = -15 - (y-50.24)/18.258
# Caveats: endpoints are where the line meets the plot frame (top edge at low f, right edge near 1e4 Hz), not physical ends of the curve.
#   The source is a polyline of 154 vertices; resampled to 301 points uniform in log f by linear interpolation in log-log
#   (exact for the polyline; max deviation 3.2e-03 dex). Accuracy is set by the tick-mark calibration above.
f_Hz,h_c
1.947683e+01,6.300192e-21
2.100409e+01,6.542634e-21
2.265110e+01,6.794404e-21
2.442727e+01,7.055863e-21
2.634271e+01,7.327384e-21
2.840834e+01,7.609353e-21
3.063596e+01,7.902173e-21
3.303824e+01,8.207950e-21
3.562890e+01,8.526315e-21
3.842271e+01,8.857028e-21
4.143558e+01,9.200568e-21
4.468471e+01,9.557434e-21
4.818862e+01,9.928141e-21
5.196728e+01,1.031323e-20
5.604224e+01,1.070857e-20
6.043674e+01,1.111609e-20
6.517583e+01,1.153912e-20
7.028652e+01,1.197825e-20
7.579797e+01,1.243408e-20
8.174159e+01,1.290727e-20
8.815127e+01,1.339852e-20
9.506356e+01,1.391352e-20
1.025179e+02,1.444832e-20
1.105567e+02,1.500367e-20
1.192259e+02,1.558037e-20
1.285749e+02,1.617923e-20
1.386570e+02,1.680112e-20
1.495296e+02,1.744691e-20
1.612548e+02,1.812412e-20
1.738994e+02,1.882884e-20
1.875356e+02,1.956096e-20
2.022410e+02,2.032155e-20
2.180995e+02,2.111171e-20
2.352016e+02,2.193260e-20
2.536447e+02,2.278540e-20
2.735340e+02,2.365772e-20
2.949828e+02,2.456032e-20
3.181136e+02,2.549735e-20
3.430582e+02,2.647013e-20
3.699587e+02,2.748002e-20
3.989687e+02,2.852845e-20
4.302534e+02,2.961888e-20
