# Recovery of a sinusoidal phase imprinted by a light shift, one run per injected frequency
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0), Fig. 5a
# Sources: data_analysis/data/intermediate_data/signal_fitting_results_by_frequency.csv (final iteration), and data_analysis/data/precomputed_true_signals/signal_extraction_*.npz, reduced as 'data_analysis/figures/Figure 5a.ipynb' does
# Columns: injected_hz, the run's nominal frequency; curve, 'fit' for the likelihood of a sinusoid fitted to the differential phase
#   (logL above its minimum) or 'true' for the periodogram of the light-shift drive; f_hz, trial frequency; value, normalised to unit peak
injected_hz,curve,f_hz,value
0.0001,fit,7.869745114822813e-05,0.0219063
0.0001,fit,7.87462318337952e-05,0.0230428
0.0001,fit,7.879504275611406e-05,0.0242367
0.0001,fit,7.884388393392668e-05,0.0254884
0.0001,fit,7.88927553859871e-05,0.0267983
0.0001,fit,7.894165713106083e-05,0.0281665
0.0001,fit,7.899058918792522e-05,0.0295935
0.0001,fit,7.90395515753687e-05,0.0310792
0.0001,fit,7.908854431219188e-05,0.0326241
0.0001,fit,7.913756741720701e-05,0.0342281
0.0001,fit,7.918662090923753e-05,0.0358915
0.0001,fit,7.923570480711901e-05,0.0376142
0.0001,fit,7.928481912969855e-05,0.0393964
0.0001,fit,7.933396389583508e-05,0.041238
0.0001,fit,7.938313912439875e-05,0.0431389
0.0001,fit,7.943234483427188e-05,0.0450991
0.0001,fit,7.948158104434833e-05,0.0471184
0.0001,fit,7.953084777353386e-05,0.0491967
0.0001,fit,7.958014504074543e-05,0.0513338
0.0001,fit,7.962947286491222e-05,0.0535293
0.0001,fit,7.9678831264975e-05,0.0557831
0.0001,fit,7.972822025988641e-05,0.0580947
0.0001,fit,7.97776398686104e-05,0.0604637
0.0001,fit,7.982709011012309e-05,0.0628898
0.0001,fit,7.987657100341245e-05,0.0653723
0.0001,fit,7.992608256747764e-05,0.0679109
0.0001,fit,7.997562482133017e-05,0.070505
0.0001,fit,8.00251977839931e-05,0.0731538
0.0001,fit,8.00748014745015e-05,0.0758568
0.0001,fit,8.012443591190172e-05,0.0786132
0.0001,fit,8.017410111525241e-05,0.0814223
0.0001,fit,8.022379710362386e-05,0.0842832
0.0001,fit,8.027352389609839e-05,0.0871952
0.0001,fit,8.032328151176958e-05,0.0901573
0.0001,fit,8.037306996974342e-05,0.0931686
0.0001,fit,8.04228892891375e-05,0.096228
0.0001,fit,8.04727394890815e-05,0.0993347
0.0001,fit,8.05226205887164e-05,0.102487
0.0001,fit,8.057253260719558e-05,0.105685
0.0001,fit,8.062247556368411e-05,0.108927
0.0001,fit,8.067244947735912e-05,0.112211
0.0001,fit,8.07224543674091e-05,0.115536
0.0001,fit,8.077249025303495e-05,0.118902
0.0001,fit,8.082255715344948e-05,0.122306
0.0001,fit,8.08726550878769e-05,0.125748
0.0001,fit,8.092278407555384e-05,0.129225
0.0001,fit,8.097294413572867e-05,0.132738
0.0001,fit,8.10231352876619e-05,0.136283
0.0001,fit,8.107335755062543e-05,0.139859
0.0001,fit,8.112361094390364e-05,0.143466
0.0001,fit,8.117389548679266e-05,0.147101
0.0001,fit,8.122421119860078e-05,0.150763
0.0001,fit,8.127455809864778e-05,0.15445
0.0001,fit,8.132493620626584e-05,0.15816
0.0001,fit,8.137534554079903e-05,0.161893
0.0001,fit,8.142578612160352e-05,0.165645
0.0001,fit,8.147625796804705e-05,0.169415
0.0001,fit,8.152676109950978e-05,0.173202
0.0001,fit,8.157729553538395e-05,0.177004
0.0001,fit,8.162786129507326e-05,0.180818
0.0001,fit,8.167845839799401e-05,0.184644
0.0001,fit,8.172908686357432e-05,0.188479
0.0001,fit,8.177974671125452e-05,0.192321
0.0001,fit,8.18304379604865e-05,0.196168
0.0001,fit,8.188116063073472e-05,0.200019
0.0001,fit,8.19319147414755e-05,0.203872
0.0001,fit,8.198270031219745e-05,0.207724
0.0001,fit,8.203351736240072e-05,0.211574
0.0001,fit,8.208436591159805e-05,0.215419
0.0001,fit,8.213524597931416e-05,0.219259
0.0001,fit,8.218615758508596e-05,0.223091
0.0001,fit,8.223710074846203e-05,0.226912
0.0001,fit,8.228807548900353e-05,0.230722
0.0001,fit,8.233908182628377e-05,0.234517
0.0001,fit,8.239011977988768e-05,0.238297
0.0001,fit,8.244118936941284e-05,0.242059
0.0001,fit,8.249229061446879e-05,0.245802
0.0001,fit,8.254342353467743e-05,0.249523
0.0001,fit,8.259458814967228e-05,0.25322
0.0001,fit,8.264578447909954e-05,0.256892
0.0001,fit,8.269701254261746e-05,0.260537
0.0001,fit,8.274827235989657e-05,0.264152
0.0001,fit,8.279956395061917e-05,0.267736
0.0001,fit,8.285088733448022e-05,0.271288
0.0001,fit,8.29022425311867e-05,0.274805
0.0001,fit,8.295362956045802e-05,0.278286
0.0001,fit,8.300504844202528e-05,0.281728
0.0001,fit,8.305649919563233e-05,0.28513
0.0001,fit,8.310798184103507e-05,0.288491
0.0001,fit,8.315949639800184e-05,0.291808
0.0001,fit,8.32110428863127e-05,0.29508
0.0001,fit,8.326262132576051e-05,0.298305
0.0001,fit,8.331423173615037e-05,0.301481
0.0001,fit,8.336587413729914e-05,0.304608
0.0001,fit,8.341754854903652e-05,0.307683
0.0001,fit,8.34692549912043e-05,0.310705
0.0001,fit,8.352099348365671e-05,0.313672
0.0001,fit,8.357276404625983e-05,0.316583
0.0001,fit,8.362456669889255e-05,0.319437
0.0001,fit,8.367640146144589e-05,0.322231
0.0001,fit,8.372826835382338e-05,0.324965
0.0001,fit,8.37801673959404e-05,0.327637
0.0001,fit,8.383209860772514e-05,0.330246
0.0001,fit,8.388406200911801e-05,0.33279
0.0001,fit,8.393605762007194e-05,0.335269
0.0001,fit,8.39880854605517e-05,0.337681
0.0001,fit,8.404014555053499e-05,0.340024
0.0001,fit,8.409223791001183e-05,0.342299
0.0001,fit,8.414436255898418e-05,0.344503
0.0001,fit,8.419651951746687e-05,0.346635
0.0001,fit,8.424870880548698e-05,0.348696
0.0001,fit,8.430093044308418e-05,0.350682
0.0001,fit,8.435318445031003e-05,0.352594
0.0001,fit,8.440547084722906e-05,0.354431
0.0001,fit,8.445778965391803e-05,0.356191
0.0001,fit,8.451014089046636e-05,0.357875
0.0001,fit,8.456252457697537e-05,0.35948
0.0001,fit,8.461494073355937e-05,0.361006
0.0001,fit,8.466738938034496e-05,0.362453
0.0001,fit,8.471987053747141e-05,0.36382
0.0001,fit,8.477238422508993e-05,0.365106
0.0001,fit,8.482493046336474e-05,0.36631
0.0001,fit,8.487750927247258e-05,0.367432
0.0001,fit,8.493012067260215e-05,0.368471
0.0001,fit,8.49827646839552e-05,0.369428
0.0001,fit,8.503544132674583e-05,0.3703
0.0001,fit,8.508815062120085e-05,0.371089
0.0001,fit,8.514089258755906e-05,0.371793
0.0001,fit,8.519366724607234e-05,0.372412
0.0001,fit,8.524647461700496e-05,0.372946
0.0001,fit,8.529931472063392e-05,0.373394
0.0001,fit,8.535218757724825e-05,0.373757
