# Low laser noise (LLN): injected common phase noise std. dev. 0 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_0.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 0.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
245,1619.253,2.538661,0.483001,0.524232
246,1622.449,5.013855,0.089212,0.097237
247,1638.376,1.396263,0.187762,0.185218
248,1644.719,4.125324,0.462611,0.425633
249,1651.078,5.585054,0.374770,0.412731
250,1660.647,2.602127,0.493082,0.525310
251,1663.843,6.092786,0.739694,0.771694
252,1670.184,6.283185,0.909235,0.912986
253,1676.527,3.554125,0.889100,0.869587
254,1682.839,0.507732,0.862961,0.856455
255,1686.016,2.855993,0.739561,0.757333
256,1698.736,3.490659,0.913950,0.894334
257,1705.123,1.967462,0.106644,0.120736
258,1708.318,2.411728,0.387622,0.418619
259,1711.497,0.571199,0.808094,0.766760
260,1714.660,3.998391,0.606555,0.557017
261,1724.278,1.269330,0.288147,0.240558
262,1727.474,3.681058,0.810165,0.772805
263,1740.206,2.030929,0.125008,0.148366
264,1749.775,4.950388,0.081059,0.081101
265,1752.954,5.838920,0.537964,0.574765
266,1762.509,3.871458,0.678998,0.624838
267,1765.704,1.903996,0.092340,0.111633
268,1772.078,0.634665,0.778541,0.760110
269,1775.289,1.078931,0.441853,0.408749
270,1778.452,0.825065,0.673911,0.630920
271,1784.795,5.458121,0.251563,0.272055
272,1787.989,5.077321,0.095825,0.104905
273,1791.152,3.744525,0.807426,0.760078
274,1794.300,4.442656,0.220140,0.189923
275,1797.478,3.363725,0.902766,0.888877
276,1800.673,5.204254,0.132205,0.138928
277,1807.016,5.965853,0.754681,0.777208
278,1813.358,5.902386,0.621798,0.649758
279,1819.780,4.569589,0.217257,0.172367
280,1822.959,6.029319,0.750990,0.780847
281,1832.529,4.696522,0.169643,0.163473
282,1835.710,6.219719,0.838838,0.851784
283,1838.903,3.173326,0.883769,0.901054
284,1842.100,0.444266,0.917238,0.900755
285,1845.261,1.523196,0.142464,0.129180
286,1848.473,1.713596,0.094979,0.088917
287,1851.700,2.792527,0.637411,0.680178
288,1858.074,2.157862,0.249510,0.276462
289,1870.791,1.586663,0.152163,0.128102
290,1880.334,1.015464,0.523596,0.478349
291,1889.851,2.729060,0.590790,0.624732
292,1896.210,5.267721,0.169520,0.191632
293,1899.372,5.521587,0.366152,0.396127
294,1905.714,4.252257,0.388479,0.326068
295,1912.120,2.284795,0.276175,0.297100
296,1915.300,2.221328,0.276989,0.301876
297,1918.481,3.236792,0.899508,0.903514
298,1928.048,0.888531,0.525811,0.497194
299,1937.538,2.094395,0.151203,0.162358
300,1940.749,3.807991,0.755638,0.721742
301,1950.335,0.571199,0.834914,0.810964
302,1953.514,5.013855,0.082264,0.093410
303,1959.872,1.650129,0.101113,0.092427
304,1969.393,1.078931,0.394263,0.359994
305,1978.967,4.125324,0.469522,0.446872
306,1982.142,4.950388,0.085362,0.094373
307,1985.321,4.823455,0.104535,0.083649
308,1988.501,2.348261,0.319535,0.355699
309,2001.186,3.617592,0.866214,0.843516
310,2004.364,1.269330,0.321678,0.277511
311,2007.544,5.394654,0.251916,0.282153
312,2017.211,1.015464,0.523157,0.495416
313,2023.631,1.332797,0.206876,0.182700
314,2026.794,3.490659,0.884716,0.839343
315,2029.977,3.046393,0.806054,0.839094
316,2033.153,3.871458,0.723613,0.697525
317,2039.543,4.315723,0.367955,0.315547
318,2042.738,2.855993,0.715943,0.760616
319,2045.950,5.204254,0.113477,0.117461
320,2052.371,3.427192,0.901716,0.885369
321,2065.168,3.173326,0.878990,0.885446
322,2071.543,2.602127,0.535284,0.593849
323,2074.721,4.252257,0.395678,0.344060
324,2077.884,1.205864,0.341181,0.306615
325,2081.064,1.142397,0.364837,0.322124
326,2093.764,2.094395,0.151718,0.166982
327,2103.273,3.554125,0.861245,0.821320
328,2106.433,5.140788,0.111504,0.149913
329,2109.611,6.219719,0.815391,0.844559
330,2112.777,0.000000,0.899463,0.921150
331,2128.655,1.777063,0.074397,0.075563
332,2141.404,5.077321,0.110163,0.105293
333,2144.599,3.934924,0.616637,0.556837
334,2147.778,6.029319,0.724482,0.766645
335,2154.104,2.157862,0.197546,0.215614
336,2170.000,5.965853,0.685648,0.724413
337,2173.179,1.713596,0.107919,0.103127
338,2176.391,0.761598,0.744684,0.682280
339,2179.554,0.698132,0.695640,0.647947
340,2189.124,2.665594,0.563253,0.604876
341,2192.302,2.284795,0.228249,0.276433
342,2195.481,1.967462,0.120665,0.140659
343,2198.660,0.444266,0.901641,0.872013
344,2201.856,5.458121,0.244942,0.271983
345,2214.619,3.236792,0.884144,0.899244
346,2217.803,2.792527,0.646384,0.687354
347,2220.979,5.711987,0.482413,0.511656
348,2224.157,2.982926,0.830026,0.857790
349,2227.321,0.507732,0.841934,0.800144
350,2230.516,5.331188,0.175565,0.213109
351,2233.700,4.188790,0.481470,0.416596
352,2243.217,3.681058,0.816953,0.795121
353,2246.411,0.634665,0.800378,0.777915
354,2249.579,5.838920,0.548868,0.581643
355,2252.754,6.092786,0.766144,0.776729
356,2255.933,2.221328,0.221859,0.241626
357,2262.371,1.459730,0.175558,0.138442
358,2281.510,4.696522,0.140373,0.137173
359,2284.689,0.190400,0.914020,0.931779
360,2287.851,0.888531,0.646449,0.590734
361,2306.928,0.380799,0.901563,0.872932
362,2310.090,1.396263,0.184856,0.165227
363,2316.448,0.126933,0.906122,0.914551
364,2329.197,3.109859,0.868644,0.891777
365,2332.375,4.379190,0.345786,0.305546
366,2348.303,5.267721,0.151932,0.176025
367,2354.661,1.586663,0.125057,0.118963
368,2367.379,6.283185,0.867656,0.881013
369,2380.078,3.363725,0.907549,0.885779
370,2386.485,0.951998,0.572498,0.526711
371,2392.827,4.506123,0.184145,0.159625
372,2396.023,4.442656,0.276847,0.243361
373,2402.364,1.523196,0.151941,0.132372
374,2405.543,3.300259,0.894722,0.907608
375,2408.723,4.886922,0.084162,0.081730
376,2415.080,4.633056,0.163184,0.153617
377,2427.781,4.569589,0.236734,0.204089
378,2434.138,2.475194,0.403335,0.442241
379,2437.333,0.825065,0.633430,0.593648
380,2440.529,5.648520,0.477594,0.499923
381,2453.245,2.919460,0.780506,0.807667
382,2456.425,5.775453,0.490324,0.563079
383,2462.814,2.538661,0.459882,0.508081
384,2466.025,4.759989,0.107215,0.097259
385,2469.221,5.521587,0.284459,0.335605
386,2478.838,3.998391,0.660468,0.615520
387,2485.181,2.411728,0.361879,0.375418
388,2488.359,6.156252,0.828875,0.833598
389,2491.539,0.063467,0.906852,0.912644
390,2501.140,0.253866,0.924745,0.922225
391,2507.487,5.585054,0.349196,0.380766
392,2513.873,0.317333,0.908084,0.888943
393,2520.215,2.729060,0.564272,0.597512
394,2529.784,2.030929,0.121061,0.139209
395,2542.580,1.840529,0.094835,0.105887
396,2548.971,4.061857,0.563776,0.509983
397,2555.329,5.902386,0.669163,0.696385
398,2571.273,1.903996,0.094710,0.098944
399,2574.452,3.744525,0.830579,0.803665
400,2587.154,1.205864,0.294938,0.264636
401,2593.543,2.348261,0.314154,0.355282
402,2596.738,5.585054,0.380388,0.408952
403,2599.935,6.029319,0.719189,0.755305
404,2606.325,2.221328,0.242425,0.285846
405,2612.700,5.965853,0.681161,0.704659
406,2615.878,2.665594,0.601435,0.633487
407,2619.024,4.633056,0.139889,0.128040
408,2622.205,0.698132,0.727655,0.701943
409,2631.804,3.744525,0.785570,0.737492
