# High laser noise (HLN): injected common phase noise std. dev. 2 turns
# From Baynham et al., arXiv:2504.09158, doi:10.5281/zenodo.19592552 (CC BY 4.0)
# Source file: data_analysis/data/intermediate_data/excitation_fraction_corrected_with_phi_hln-lnl-repeat_63132_63134_63133_63135_63150_63149_63148_63151_63164_63163_63162_63331_63333_63332_2.csv
# Its header:
#   Excitation fraction dataset with debananaization applied and debug outputs included
#   Dataset description: hln-lnl-repeat
#   RIDs = 63132, 63134, 63133, 63135, 63150, 63149, 63148, 63151, 63164, 63163, 63162, 63331, 63333, 63332
#   atom_threshold_forward: 750000.0
#   atom_threshold_backward: 400000.0
#   Git version = 1ff632a-dirty
#   Scanned parameter = Std. dev. of both phase steps in turns
#   scanned parameter value = 2.0
#   phi units: radians
# Columns: shot index; t_s, seconds since the first shot of either run; phi_rad, applied clock laser phase step;
#   excitation_bottom / excitation_top, excitation fraction of the lower ('forward') and upper ('backward') interferometer
shot,t_s,phi_rad,excitation_bottom,excitation_top
205,1312.729,5.902386,0.408001,0.470475
206,1334.967,2.729060,0.096523,0.088669
207,1344.523,4.569589,0.112530,0.089471
208,1347.716,1.713596,0.120464,0.130756
209,1350.911,1.777063,0.909108,0.913512
210,1354.091,1.269330,0.168549,0.157309
211,1357.255,4.823455,0.524803,0.555536
212,1360.452,0.507732,0.098858,0.118551
213,1363.644,5.965853,0.313144,0.348791
214,1366.824,6.156252,0.099144,0.098418
215,1373.182,6.283185,0.824634,0.791963
216,1382.767,2.284795,0.430230,0.464335
217,1389.112,1.840529,0.764276,0.790392
218,1392.289,3.490659,0.453848,0.482354
219,1395.451,0.063467,0.731072,0.766957
220,1401.778,3.681058,0.095743,0.115154
221,1408.104,5.204254,0.886115,0.881444
222,1414.467,6.092786,0.301420,0.335162
223,1424.047,4.442656,0.457174,0.415558
224,1427.226,4.506123,0.152942,0.193965
225,1430.406,2.094395,0.086358,0.104446
226,1433.600,2.030929,0.153899,0.186618
227,1436.781,5.711987,0.527061,0.573291
228,1446.461,4.379190,0.293069,0.248419
229,1462.407,3.998391,0.632730,0.580733
230,1465.568,1.903996,0.305687,0.249968
231,1478.268,5.838920,0.892940,0.872249
232,1481.433,5.394654,0.921883,0.910930
233,1484.642,3.427192,0.235954,0.217060
234,1491.017,3.617592,0.093858,0.110562
235,1494.180,4.950388,0.498411,0.475184
236,1500.555,2.475194,0.756428,0.734338
237,1506.945,5.267721,0.213650,0.188622
238,1522.921,1.205864,0.089396,0.105691
239,1529.262,2.348261,0.095684,0.099222
240,1532.441,4.759989,0.139945,0.159324
241,1587.542,3.173326,0.355255,0.315669
242,1590.705,3.363725,0.911806,0.921386
243,1597.063,1.650129,0.485847,0.430647
244,1600.244,2.919460,0.927317,0.923199
245,1609.734,1.015464,0.365616,0.407255
246,1612.912,4.061857,0.780201,0.760380
247,1625.630,0.126933,0.109243,0.115571
248,1628.823,0.825065,0.904987,0.884172
249,1632.018,6.029319,0.636013,0.581472
250,1635.213,0.634665,0.148527,0.124297
251,1641.543,2.157862,0.681760,0.716659
252,1647.914,1.967462,0.488158,0.426125
253,1654.273,0.000000,0.128472,0.113006
254,1657.468,4.886922,0.293638,0.340680
255,1667.022,3.109859,0.654617,0.592512
256,1673.364,3.236792,0.542176,0.546904
257,1679.690,4.633056,0.921345,0.903980
258,1689.212,2.855993,0.314650,0.269071
259,1692.375,1.332797,0.182642,0.161712
260,1695.554,5.775453,0.862739,0.871827
261,1701.944,5.140788,0.179920,0.206876
262,1717.924,3.744525,0.166908,0.171100
263,1721.115,1.142397,0.305288,0.334420
264,1730.652,2.792527,0.627579,0.652876
265,1733.832,5.013855,0.910412,0.896031
266,1737.026,3.046393,0.212454,0.233703
267,1743.401,2.538661,0.572630,0.596085
268,1746.596,3.300259,0.852293,0.861643
269,1756.134,0.190400,0.176345,0.181419
270,1759.313,1.078931,0.875095,0.898237
271,1768.900,5.648520,0.528935,0.547759
272,1781.615,2.602127,0.240919,0.303089
273,1803.836,6.219719,0.782429,0.744830
274,1810.179,4.315723,0.600079,0.650360
275,1816.601,5.077321,0.095137,0.079815
276,1826.170,2.411728,0.578543,0.519416
277,1829.350,0.571199,0.108209,0.119433
278,1854.879,0.444266,0.543991,0.491993
279,1861.285,0.253866,0.205444,0.182414
280,1864.465,0.888531,0.596918,0.570900
281,1867.628,0.761598,0.778098,0.741949
282,1873.970,3.807991,0.870506,0.834200
283,1877.150,4.125324,0.106671,0.081997
284,1883.524,3.934924,0.099955,0.130782
285,1886.687,1.523196,0.257675,0.303337
286,1893.045,0.698132,0.877873,0.886620
287,1902.535,3.554125,0.093712,0.081931
288,1908.909,0.317333,0.077188,0.093474
289,1921.674,3.871458,0.106700,0.102168
290,1924.854,1.459730,0.865332,0.883751
291,1931.228,0.951998,0.798324,0.774787
292,1934.392,0.380799,0.096654,0.100251
293,1943.960,1.078931,0.096205,0.089267
294,1947.155,2.030929,0.081481,0.090713
295,1956.694,1.713596,0.234213,0.214668
